Source Language,Target Language,Ellipsis type,Number,Translation Service,Score,Meaning Score,Grammaticality Score,Meaning Averages,Grammaticality Averages
English,Japanese,VPE,1,Google,B,6.00,6.00,MT Service,MT Service
English,Japanese,VPE,1,Bing,B,6.00,6.00,Google,Google
English,Japanese,VPE,1,DeepL,A,7.00,7.00,5.158333333,5.591666667
English,Japanese,VPE,2,Google,A,7.00,7.00,Bing,Bing
English,Japanese,VPE,2,Bing,D,4.00,2.00,5.158333333,5.391666667
English,Japanese,VPE,2,DeepL,A,7.00,7.00,DeepL,DeepL
English,Japanese,VPE,3,Google,A,7.00,7.00,5.133333333,5.4
English,Japanese,VPE,3,Bing,A,7.00,7.00,,
English,Japanese,VPE,3,DeepL,F,2.00,4.00,Ellipsis Type,Ellipsis Type
English,Japanese,VPE,4,Google,C,5.00,5.00,VPE,VPE
English,Japanese,VPE,4,Bing,C,5.00,5.00,5.3,5.433333333
English,Japanese,VPE,4,DeepL,C,5.00,5.00,NPE,NPE
English,Japanese,VPE,5,Google,G,1.00,3.00,5.366666667,5.7
English,Japanese,VPE,5,Bing,A,7.00,7.00,Sluicing,Sluicing
English,Japanese,VPE,5,DeepL,G,1.00,3.00,5.4,5.533333333
English,Japanese,NPE,6,Google,C,5.00,5.00,Argument Ellipsis,Argument Ellipsis
English,Japanese,NPE,6,Bing,C,5.00,5.00,4.6,5.333333333
English,Japanese,NPE,6,DeepL,C,5.00,5.00,VPE-like,VPE-like
English,Japanese,NPE,7,Google,A,7.00,7.00,4.833333333,5.233333333
English,Japanese,NPE,7,Bing,A,7.00,7.00,,
English,Japanese,NPE,7,DeepL,A,7.00,7.00,Language Pair,Language Pair
English,Japanese,NPE,8,Google,A,7.00,7.00,English to Japanese,English to Japanese
English,Japanese,NPE,8,Bing,A,7.00,7.00,5.211111111,5.366666667
English,Japanese,NPE,8,DeepL,A,7.00,7.00,Japanese to English,Japanese to English
English,Japanese,NPE,9,Google,A,7.00,7.00,5.088888889,5.555555556
English,Japanese,NPE,9,Bing,A,7.00,7.00,,
English,Japanese,NPE,9,DeepL,C,5.00,5.00,Overall scores,
English,Japanese,NPE,10,Google,C,5.00,5.00,Meaning,Grammaticality
English,Japanese,NPE,10,Bing,C,5.00,5.00,5.125,5.453888889
English,Japanese,NPE,10,DeepL,A,7.00,7.00,,
English,Japanese,Sluicing,11,Google,E,3.00,1.00,,
English,Japanese,Sluicing,11,Bing,E,3.00,1.00,,
English,Japanese,Sluicing,11,DeepL,C,5.00,5.00,,
English,Japanese,Sluicing,12,Google,B,6.00,6.00,,
English,Japanese,Sluicing,12,Bing,B,6.00,6.00,,
English,Japanese,Sluicing,12,DeepL,B,6.00,6.00,,
English,Japanese,Sluicing,13,Google,F,2.00,4.00,,
English,Japanese,Sluicing,13,Bing,F,2.00,4.00,,
English,Japanese,Sluicing,13,DeepL,F,2.00,4.00,,
English,Japanese,Sluicing,14,Google,A,7.00,7.00,,
English,Japanese,Sluicing,14,Bing,A,7.00,7.00,,
English,Japanese,Sluicing,14,DeepL,B,6.00,6.00,,
English,Japanese,Sluicing,15,Google,A,7.00,7.00,,
English,Japanese,Sluicing,15,Bing,A,7.00,7.00,,
English,Japanese,Sluicing,15,DeepL,D,4.00,2.00,,
Japanese,English,Argument Ellipsis,16,Google,F,2.00,4.00,,
Japanese,English,Argument Ellipsis,16,Bing,B,6.00,6.00,,
Japanese,English,Argument Ellipsis,16,DeepL,B,6.00,6.00,,
Japanese,English,Argument Ellipsis,17,Google,B,6.00,6.00,,
Japanese,English,Argument Ellipsis,17,Bing,F,2.00,4.00,,
Japanese,English,Argument Ellipsis,17,DeepL,C,5.00,5.00,,
Japanese,English,Argument Ellipsis,18,Google,B,6.00,6.00,,
Japanese,English,Argument Ellipsis,18,Bing,B,6.00,6.00,,
Japanese,English,Argument Ellipsis,18,DeepL,B,6.00,6.00,,
Japanese,English,Argument Ellipsis,19,Google,A,7.00,7.00,,
Japanese,English,Argument Ellipsis,19,Bing,A,7.00,7.00,,
Japanese,English,Argument Ellipsis,19,DeepL,A,7.00,7.00,,
Japanese,English,Argument Ellipsis,20,Google,F,2.00,4.00,,
Japanese,English,Argument Ellipsis,20,Bing,F,2.00,4.00,,
Japanese,English,Argument Ellipsis,20,DeepL,F,2.00,4.00,,
Japanese,English,VPE-like,21,Google,B,6.00,6.00,,
Japanese,English,VPE-like,21,Bing,A,7.00,7.00,,
Japanese,English,VPE-like,21,DeepL,B,6.00,6.00,,
Japanese,English,VPE-like,22,Google,B,6.00,6.00,,
Japanese,English,VPE-like,22,Bing,F,2.00,4.00,,
Japanese,English,VPE-like,22,DeepL,B,6.00,6.00,,
Japanese,English,VPE-like,23,Google,G,1.00,3.00,,
Japanese,English,VPE-like,23,Bing,A,7.00,7.00,,
Japanese,English,VPE-like,23,DeepL,C,5.00,5.00,,
Japanese,English,VPE-like,24,Google,G,1.00,3.00,,
Japanese,English,VPE-like,24,Bing,C,5.00,5.00,,
Japanese,English,VPE-like,24,DeepL,B,6.00,6.00,,
Japanese,English,VPE-like,25,Google,A,7.00,7.00,,
Japanese,English,VPE-like,25,Bing,A,7.00,7.00,,
Japanese,English,VPE-like,25,DeepL,A,7.00,7.00,,
Japanese,English,Sluicing,26,Google,A,7.00,7.00,,
Japanese,English,Sluicing,26,Bing,F,2.00,4.00,,
Japanese,English,Sluicing,26,DeepL,F,2.00,4.00,,
Japanese,English,Sluicing,27,Google,A,7.00,7.00,,
Japanese,English,Sluicing,27,Bing,A,7.00,7.00,,
Japanese,English,Sluicing,27,DeepL,A,7.00,7.00,,
Japanese,English,Sluicing,28,Google,A,7.00,7.00,,
Japanese,English,Sluicing,28,Bing,A,7.00,7.00,,
Japanese,English,Sluicing,28,DeepL,A,7.00,7.00,,
Japanese,English,Sluicing,29,Google,A,7.00,7.00,,
Japanese,English,Sluicing,29,Bing,A,7.00,7.00,,
Japanese,English,Sluicing,29,DeepL,C,5.00,5.00,,
Japanese,English,Sluicing,30,Google,A,7.00,7.00,,
Japanese,English,Sluicing,30,Bing,C,5.00,5.00,,
Japanese,English,Sluicing,30,DeepL,C,5.00,5.00,,
English,Japanese,VPE,1,Google,A,7.00,7.00,,
English,Japanese,VPE,1,Bing,A,7.00,7.00,,
English,Japanese,VPE,1,DeepL,A,7.00,7.00,,
English,Japanese,VPE,2,Google,B,6.00,6.00,,
English,Japanese,VPE,2,Bing,A,7.00,7.00,,
English,Japanese,VPE,2,DeepL,D,4.00,2.00,,
English,Japanese,VPE,3,Google,A,7.00,7.00,,
English,Japanese,VPE,3,Bing,A,7.00,7.00,,
English,Japanese,VPE,3,DeepL,E,3.00,1.00,,
English,Japanese,VPE,4,Google,B,6.00,6.00,,
English,Japanese,VPE,4,Bing,B,6.00,6.00,,
English,Japanese,VPE,4,DeepL,B,6.00,6.00,,
English,Japanese,VPE,5,Google,G,1.00,3.00,,
English,Japanese,VPE,5,Bing,G,1.00,3.00,,
English,Japanese,VPE,5,DeepL,A,7.00,7.00,,
English,Japanese,NPE,6,Google,A,7.00,7.00,,
English,Japanese,NPE,6,Bing,A,7.00,7.00,,
English,Japanese,NPE,6,DeepL,A,7.00,7.00,,
English,Japanese,NPE,7,Google,A,7.00,7.00,,
English,Japanese,NPE,7,Bing,A,7.00,7.00,,
English,Japanese,NPE,7,DeepL,F,2.00,4.00,,
English,Japanese,NPE,8,Google,G,1.00,3.00,,
English,Japanese,NPE,8,Bing,G,1.00,3.00,,
English,Japanese,NPE,8,DeepL,G,1.00,3.00,,
English,Japanese,NPE,9,Google,F,2.00,4.00,,
English,Japanese,NPE,9,Bing,F,2.00,4.00,,
English,Japanese,NPE,9,DeepL,A,7.00,7.00,,
English,Japanese,NPE,10,Google,B,6.00,6.00,,
English,Japanese,NPE,10,Bing,D,4.00,2.00,,
English,Japanese,NPE,10,DeepL,A,7.00,7.00,,
English,Japanese,Sluicing,11,Google,A-,6.50,6.50,,
English,Japanese,Sluicing,11,Bing,A-,6.50,6.50,,
English,Japanese,Sluicing,11,DeepL,B,6.00,6.00,,
English,Japanese,Sluicing,12,Google,A,7.00,7.00,,
English,Japanese,Sluicing,12,Bing,A,7.00,7.00,,
English,Japanese,Sluicing,12,DeepL,F,2.00,4.00,,
English,Japanese,Sluicing,13,Google,F,2.00,4.00,,
English,Japanese,Sluicing,13,Bing,F,2.00,4.00,,
English,Japanese,Sluicing,13,DeepL,A,7.00,7.00,,
English,Japanese,Sluicing,14,Google,A,7.00,7.00,,
English,Japanese,Sluicing,14,Bing,A,7.00,7.00,,
English,Japanese,Sluicing,14,DeepL,A,7.00,7.00,,
English,Japanese,Sluicing,15,Google,E,3.00,1.00,,
English,Japanese,Sluicing,15,Bing,E,3.00,1.00,,
English,Japanese,Sluicing,15,DeepL,E,3.00,1.00,,
Japanese,English,Argument Ellipsis,16,Google,F,2.00,4.00,,
Japanese,English,Argument Ellipsis,16,Bing,B,6.00,6.00,,
Japanese,English,Argument Ellipsis,16,DeepL,B,6.00,6.00,,
Japanese,English,Argument Ellipsis,17,Google,B,6.00,6.00,,
Japanese,English,Argument Ellipsis,17,Bing,F,2.00,4.00,,
Japanese,English,Argument Ellipsis,17,DeepL,F,2.00,4.00,,
Japanese,English,Argument Ellipsis,18,Google,B,6.00,6.00,,
Japanese,English,Argument Ellipsis,18,Bing,B,6.00,6.00,,
Japanese,English,Argument Ellipsis,18,DeepL,B,6.00,6.00,,
Japanese,English,Argument Ellipsis,19,Google,A,7.00,7.00,,
Japanese,English,Argument Ellipsis,19,Bing,A,7.00,7.00,,
Japanese,English,Argument Ellipsis,19,DeepL,A,7.00,7.00,,
Japanese,English,Argument Ellipsis,20,Google,G,1.00,3.00,,
Japanese,English,Argument Ellipsis,20,Bing,G,1.00,3.00,,
Japanese,English,Argument Ellipsis,20,DeepL,G,1.00,3.00,,
Japanese,English,VPE-like,21,Google,F,2.00,4.00,,
Japanese,English,VPE-like,21,Bing,D,4.00,2.00,,
Japanese,English,VPE-like,21,DeepL,B,6.00,6.00,,
Japanese,English,VPE-like,22,Google,B,6.00,6.00,,
Japanese,English,VPE-like,22,Bing,E,3.00,1.00,,
Japanese,English,VPE-like,22,DeepL,B,6.00,6.00,,
Japanese,English,VPE-like,23,Google,G,1.00,3.00,,
Japanese,English,VPE-like,23,Bing,F,2.00,4.00,,
Japanese,English,VPE-like,23,DeepL,F,2.00,4.00,,
Japanese,English,VPE-like,24,Google,G,1.00,3.00,,
Japanese,English,VPE-like,24,Bing,B,6.00,6.00,,
Japanese,English,VPE-like,24,DeepL,B,6.00,6.00,,
Japanese,English,VPE-like,25,Google,A,7.00,7.00,,
Japanese,English,VPE-like,25,Bing,A,7.00,7.00,,
Japanese,English,VPE-like,25,DeepL,A,7.00,7.00,,
Japanese,English,Sluicing,26,Google,A,7.00,7.00,,
Japanese,English,Sluicing,26,Bing,F,2.00,4.00,,
Japanese,English,Sluicing,26,DeepL,F,2.00,4.00,,
Japanese,English,Sluicing,27,Google,A,7.00,7.00,,
Japanese,English,Sluicing,27,Bing,A,7.00,7.00,,
Japanese,English,Sluicing,27,DeepL,A,7.00,7.00,,
Japanese,English,Sluicing,28,Google,B,6.00,6.00,,
Japanese,English,Sluicing,28,Bing,B,6.00,6.00,,
Japanese,English,Sluicing,28,DeepL,B,6.00,6.00,,
Japanese,English,Sluicing,29,Google,A,7.00,7.00,,
Japanese,English,Sluicing,29,Bing,A,7.00,7.00,,
Japanese,English,Sluicing,29,DeepL,C,5.00,5.00,,
Japanese,English,Sluicing,30,Google,A,7.00,7.00,,
Japanese,English,Sluicing,30,Bing,C,5.00,5.00,,
Japanese,English,Sluicing,30,DeepL,C,5.00,5.00,,
,,,,,,,,,
,,,,,,,,,
Score by meaning,ENG to JAP,Xudong's ratings: 243,Caitlin's rating: 226,,,,,,
,JAP to ENG,,Caitlin's rating: 240,,,,,,
Score by grammaticality,ENG to JAP,Xudong's ratings: 247,Caitlin's rating: 236,,,,,,
,JAP to ENG,,Caitlin's rating: 260,,,,,,